area,base_kv,bus_i,bus_type,index,name,source_id,state,va,vm,vmax,vmin,xcoord_1,ycoord_1,zone
4,330.0,1766,1,1766,bus_1114,bus,1,-0.09936052013578894,1.0311465188063351,1.1,0.9,1232.0,-816.0,1
4,330.0,1766,1,1766,bus_1114,1766,1,-0.09936052013578894,1.0311465188063351,1.1,0.9,1232.0,-816.0,1
1,132.0,1886,1,1886,bus_1630,bus,1,-0.2438117628984174,1.0684991139826105,1.1,0.9,907.0,1571.0,1
1,132.0,1886,1,1886,bus_1630,1886,1,-0.2438117628984174,1.0684991139826105,1.1,0.9,907.0,1571.0,1
13,275.0,1,1,1,bus_4150,bus,4,1.0039294171512556,1.057048956277603,1.1,0.9,-2282.0,-1835.0,1
13,275.0,1,1,1,bus_4150,1,4,1.0039294171512556,1.057048956277603,1.1,0.9,-2282.0,-1835.0,1
4,66.0,519,1,519,bus_1645,bus,1,-0.11688245730224221,1.0678291298735878,1.1,0.9,861.0,-1721.0,1
4,66.0,519,1,519,bus_1645,519,1,-0.11688245730224221,1.0678291298735878,1.1,0.9,861.0,-1721.0,1
15,110.0,788,1,788,bus_5124,bus,5,-0.1882782838554661,1.0118123615229715,1.1,0.9,1223.0,-5742.0,1
15,110.0,788,1,788,bus_5124,788,5,-0.1882782838554661,1.0118123615229715,1.1,0.9,1223.0,-5742.0,1
8,132.0,1164,2,1164,bus_3329,bus,3,-0.5117647967699998,1.0105318482823065,1.1,0.9,-1187.0,7268.0,1
8,132.0,1164,2,1164,bus_3329,1164,3,-0.5117647967699998,1.0105318482823065,1.1,0.9,-1187.0,7268.0,1
13,11.5,774,1,774,bus_4029,bus,4,0.9825374357111575,1.0587801210150665,1.1,0.9,-2227.0,-2760.0,1
13,11.5,774,1,774,bus_4029,774,4,0.9825374357111575,1.0587801210150665,1.1,0.9,-2227.0,-2760.0,1
4,132.0,1881,1,1881,bus_1479,bus,1,-0.0925728471311933,1.0680364430731994,1.1,0.9,893.0,-1656.0,1
4,132.0,1881,1,1881,bus_1479,1881,1,-0.0925728471311933,1.0680364430731994,1.1,0.9,893.0,-1656.0,1
7,20.0,1907,1,1907,bus_2092,bus,2,-0.19462069287073497,1.0999999493878143,1.1,0.9,1230.0,-3851.0,1
7,20.0,1907,1,1907,bus_2092,1907,2,-0.19462069287073497,1.0999999493878143,1.1,0.9,1230.0,-3851.0,1
4,330.0,599,1,599,starbus_xf_2191_2020_2021_7,bus,2,0.02951394064350419,0.9990258493550974,1.1,0.9,1050.0,-1889.0,1
4,330.0,599,1,599,starbus_xf_2191_2020_2021_7,599,2,0.02951394064350419,0.9990258493550974,1.1,0.9,1050.0,-1889.0,1
5,66.0,491,1,491,bus_2240,bus,2,-0.2342526790254492,1.0173329792152461,1.1,0.9,94.0,-3685.0,1
5,66.0,491,1,491,bus_2240,491,2,-0.2342526790254492,1.0173329792152461,1.1,0.9,94.0,-3685.0,1
9,132.0,1195,1,1195,bus_3120,bus,3,-0.18150246074511042,1.0837223132049518,1.1,0.9,-35.0,5511.0,1
9,132.0,1195,1,1195,bus_3120,1195,3,-0.18150246074511042,1.0837223132049518,1.1,0.9,-35.0,5511.0,1
